treatment,outcome
1,4.835187416983371
0,4.27247627231529
1,3.492937202260528
0,1.9020023776802428
0,12.418310853326414
1,6.29977543583348
0,7.1958998228713655
0,4.636337661078982
1,3.4746401074969007
0,3.6655940249633634
1,4.011842287177937
1,12.007125962846851
0,0.01
0,18.6950550692984
1,0.01
1,10.448033593137488
0,4.5400993333708355
0,6.780025545968772
0,0.01
0,0.01
0,0.01
1,7.372461029999292
1,10.100256087723102
0,5.649772089437653
0,11.923461831709837
0,5.194718044316103
1,1.7618946524001247
0,8.061381977289377
0,0.01
0,9.509318326575709
1,7.897924602029571
1,4.023176098114323
1,6.226378839123914
1,8.608085700988251
0,8.033587404699928
0,12.856284587012217
0,4.137124995545514
1,0.01
1,5.603847148178121
0,0.01
1,3.508513880049139
1,2.6962456596185493
0,5.252324405165803
0,0.01
0,5.076137612055525
0,3.9962151326898283
0,5.555464777559197
1,7.936154929303287
0,3.792697400019233
1,8.319297731402862
1,6.938841817824967
1,3.8598735090678886
0,6.6196957907373255
0,10.243089310514542
0,0.01
1,4.108626194148352
0,10.037459124566885
1,3.652078038926284
1,1.783613644920497
0,1.725666267619807
0,7.687553773307832
1,0.01
0,16.421831400790058
1,0.01
0,6.188241964205036
0,5.8143959623265555
0,0.01
0,8.147654160532246
0,6.448862888381999
0,7.555578598592471
0,6.036272022475382
1,7.3760373651251445
1,0.01
1,5.626105207047594
1,2.8684140213955027
1,6.309321052559226
0,3.995406397548491
1,9.013909104896511
1,0.01
0,4.452344497249017
1,0.01
0,4.509275425037302
1,5.850775528353447
0,7.863707791387587
0,4.840787875338374
1,9.706901864746747
0,8.867229671746898
0,5.036883793381277
1,3.5415557104049475
0,7.606790978969829
0,4.732563822655187
0,7.260241935039884
1,0.01
0,12.248068300261092
0,6.0663347400154155
0,11.584026809171696
0,3.2713009394464265
0,9.11568108751746
1,0.01
0,0.01
0,13.06119666012846
1,2.525260777390927
0,12.346285956733368
1,1.3333181418646982
0,8.760469113278493
0,4.106620504211028
0,5.627063055055407
1,6.5955937097307835
1,4.050947494387709
0,11.750545799385334
1,6.851904102249975
0,6.963834448358126
0,18.036870249755367
1,3.7664969979880665
0,0.01
1,2.2129573905871007
1,1.8951399738741534
0,5.292791147507815
0,7.684182268617933
1,3.048380774820209
1,3.8869374521639735
1,15.433018216026568
0,3.2266646966079167
0,6.616244123454506
1,4.4179094564476165
0,6.500936976344879
1,5.730810505328894
1,2.235809778709711
0,6.485868502581808
1,2.876502311104537
1,2.553013430751372
0,7.020891772797981
0,10.565861671590682
0,0.01
0,7.405940200172165
1,0.01
1,0.01
1,7.489472783428519
1,13.424803488536549
1,0.01
1,0.01
1,4.129979218245987
1,0.01
1,5.890406590082984
1,9.752434703469406
1,6.848861674571588
1,5.082651842013158
0,7.507304019368311
0,3.803137304673965
1,2.844036357248475
0,8.375435143706058
0,6.732902040078127
0,5.794543910184246
0,0.01
0,8.106833647985537
1,7.196865589332277
0,4.367637902050065
0,4.205189060408652
0,6.6630189505095405
0,5.3165557554454566
1,2.4758065047183386
1,11.116469962272411
0,22.334593914130203
0,6.471186602900412
0,0.01
1,3.4812228618627303
0,4.614691345057808
1,3.9676233699018617
1,4.451319757365792
0,0.01
1,8.212069721643658
0,3.9960262720895647
1,3.41168814827122
1,2.792384000976915
0,5.447638681982423
0,8.994041246887697
1,1.9650316786431092
1,0.01
0,15.315611522288195
0,0.01
1,6.146153691065802
1,0.01
0,5.4677745879249695
0,0.01
0,11.477732456908921
0,4.193672643240665
0,7.616993259455094
1,16.200502898075193
1,2.5779106514217904
1,0.01
1,2.5404450588006924
0,4.438623450998235
0,9.345880649541968
0,0.01
1,0.01
0,6.684990627415232
0,5.699448460798702
0,6.078588872493759
1,2.179042893541558
1,5.3613859652712055
0,5.4712162396568145
1,1.6424729032133123
0,3.9676960237645944
1,2.5674466222475703
1,7.2759470940088375
0,8.465161762944968
0,0.01
1,0.01
0,6.2170010197595795
1,9.518748731521903
1,1.7122035005185936
0,0.01
1,16.315601090942778
0,13.204021602678989
0,7.629694451782949
1,2.8700011318039587
0,10.658792559850802
1,8.531538916260388
0,18.127176757770933
0,0.01
0,13.577080498507332
0,4.273154716913654
1,5.105931925942551
0,3.916543105412897
1,0.01
1,7.015914456199012
0,0.01
0,10.46484454617082
1,3.117134614288981
1,0.5019969391632654
0,13.872998828078547
1,0.01
0,5.1570460586187234
1,0.01
1,0.01
0,6.840852691651697
1,0.01
0,7.420482398634591
0,6.195054432077367
1,0.01
0,4.717928826337487
1,3.287764091378087
1,9.666100945182398
0,7.528539695092711
1,5.125578703928549
1,0.01
1,0.01
1,3.960289141732799
1,3.4500739275577375
0,4.194500590743941
0,13.152138706395107
0,8.350645954919994
1,4.479366169822882
1,0.01
0,9.158011768371587
1,7.9034101022275465
1,0.01
1,5.9119629023320925
0,5.6788760152085045
0,0.01
1,0.9570132746572992
1,4.591398939193985
0,11.831063010580742
1,6.750530268290308
1,8.386239567132133
0,7.205256571650062
0,7.926432598782318
1,10.36327628336081
0,6.622898565562011
1,6.302320381096479
1,0.01
1,0.01
0,8.468831284417663
1,7.847126442525663
0,5.149305142712861
1,6.433932081807057
1,5.523607979652983
0,4.772957527334416
1,9.926314826076378
1,1.6694092242344387
0,3.8498120158510227
0,8.00971022311179
0,6.643435666050761
0,4.104181384031245
0,9.18024091244323
0,3.3818876515105463
0,4.740912222845064
0,9.208555395807576
0,5.493209448426145
1,5.4085843251200645
1,0.01
1,4.854244338393172
1,9.338493648218826
1,2.211463113378187
1,8.050256194675331
1,10.053262296029773
1,11.149104192199845
1,5.041154958417969
1,2.9498329652058675
1,1.6602346304347835
1,0.01
1,3.2545278642419686
0,0.01
1,3.1901778215735654
1,0.01
0,6.002020500469433
1,9.524008827716147
0,8.466217090181017
0,9.171157000333508
1,8.895980539080899
1,2.227673726979364
